massa,açucar mascavo,açúcar mascavo,acucar maskavo,açúcar maskavo,açúcar  mascavo,açúcar  maskavo,açucar  mascavo,açucar mascavo,acucar mascavo
massa,doce
massa,sem glúten,sem gluten,sem glutem,semglutem,semgluten,sem glúten,semglúten,sem glútem,semglútem
massa,branca,branca,branco,massa branca,massabranca
massa,integral,massaintegral,massa integral
peso,1.5 kg,1.5 kg,"1,5 Kg",1.5kg,"1,5kg",1.5 k,"1,5 k",1.5k,"1,5k"
peso,2 kg,2kg,2 kg,2k,2 k
peso,Acima de 3kg,mais de 3k,acima de 3k,3kg,3 kg,3k,3 k
peso,3 kg,3 kg,3 k,3k,3kg
peso,1 kg,1 k,1,Um kg,1k,1 Kilo,1Kg,1 kg,1 Kilograma
peso,500 gramas,500 gramas,500gramas,500g,500 g,500gr,500 gr,1/2kg,1/2 kg,1/2K,1/2 k
peso,750 gramas,750gramas,750 gramas,750gr,750 gr,750 g,750g
quantidade,acima de 11 unidades,acima de onze unidades
quantidade,11,onze
quantidade,10,dez
quantidade,8,oito
quantidade,9,nove
quantidade,6,seis
quantidade,7,sete
quantidade,4,quatro
quantidade,5,cinco
quantidade,3,três,tres
quantidade,2,dois
quantidade,1,um
recheio,banana
recheio,carne
recheio,frango com catupiry,catupiri
recheio,camarao,camarão
recheio,frango
recheio,ricota com espinafre
recheio,legumes
recheio,queijo
recheio,shitake,shytake
recheio,limao,limão
recheio,presunto e queijo
recheio,chocolate
recheio,romeu e julieta
recheio,alho poró,poro
